component_id,category,component_name,specs,refurbished_priority,qty,estimated_cost_usd,source_class,notes
T2-001,Compute,AMD Ryzen 5 CPU,"Ryzen 5 5600 (AM4) OR Ryzen 5 7600 (AM5) | 6-core/12-thread | TDP: 65W | AES-NI | AVX2",MEDIUM,1,100,Consumer,"AM5 (7600) preferred for longevity of platform. AM4 (5600) acceptable if pairing with refurbished B550M-ITX board to reduce cost. Verify socket compatibility with chosen motherboard."
T2-002,Motherboard,Mini-ITX Motherboard,"AM5: ASRock B650M-ITX/ax OR AM4: ASRock B550M-ITX/ac | Mini-ITX | M.2 slot x2 | TPM 2.0 header | M.2 Wi-Fi slot | PCIe x16 slot",MEDIUM,1,160,Consumer,"TPM 2.0 header (14-pin) is mandatory — required for T2-009. Verify board has M.2 A+E key slot for Intel AX210 Wi-Fi. ASRock boards are preferred for BIOS power management depth (C-states, ECO mode)."
T2-003,Memory,DDR5 RAM 32GB Kit,"32GB (2x16GB) DDR5-5200 UDIMM | e.g. Corsair Vengeance DDR5 / G.Skill Ripjaws",NEW_ONLY,1,90,Consumer,"ECC DDR5 preferred if motherboard supports it (most consumer Mini-ITX do not — use T3 for ECC). Buy new for reliability. 32GB minimum to run 7B–13B parameter LLMs alongside OS services."
T2-004,GPU,Discrete GPU 12GB VRAM,"NVIDIA RTX 3060 12GB OR AMD RX 6700 XT 12GB | PCIe x16 | Dual-slot | TDP: 170W max | e.g. EVGA RTX 3060 XC / Sapphire RX 6700 XT Pulse",HIGH,1,200,ITAD,"12GB VRAM is the MINIMUM for running Mistral-7B and LLaMA-13B locally via llama.cpp / Ollama. RTX 3060 12GB preferred (full PCIe x16 bandwidth, wider CUDA support). Source refurbished from ITAD or BackMarket. Verify no mining damage: check GPU-Z memory error count."
T2-005,Storage,NVMe SSD 1TB (System),"M.2 2280 | PCIe 4.0 NVMe | 1TB | e.g. Samsung 980 Pro / WD Black SN770",MEDIUM,1,70,Consumer,"Primary OS and application drive. PCIe 4.0 preferred for LLM model loading speed. Refurbished Samsung PM9A1 (enterprise 980 Pro equivalent) excellent value via ITAD."
T2-006,Storage,SATA SSD 2TB (Data),"2.5-inch SATA III | 2TB | e.g. Samsung 870 EVO / Crucial MX500",MEDIUM,1,90,Consumer,"Cooperative data, IPFS node storage, and model weights. Refurbished enterprise SATA SSDs (Samsung SM883/PM883) preferred — higher endurance ratings. Verify S.M.A.R.T. before deployment."
T2-007,Power,SFX Power Supply 650W,"80 PLUS Gold | SFX form factor | 650W | Fully modular preferred | e.g. Corsair SF650 / Silverstone SX650-G",NEW_ONLY,1,110,Consumer,"SFX required for Mini-ITX chassis. 650W headroom covers Ryzen 5 (65W) + RTX 3060 (170W) + drives + overhead. Gold efficiency reduces idle draw. Buy new — PSU failure is catastrophic."
T2-008,Networking,Intel Wi-Fi 6E Card + Antenna,"Intel AX210 | M.2 2230 A+E key | Wi-Fi 6E + Bluetooth 5.3 | RP-SMA antenna connectors | Includes 2x antenna pigtails",NEW_ONLY,1,35,Consumer,"AX210 supports AP (Access Point) mode via hostapd — required for Iskander Setup Hotspot ('Iskander_Hearth_Setup' SSID). Attach external antennas to chassis rear panel for hotspot broadcast range. Verify M.2 A+E slot on motherboard."
T2-009,Security,TPM 2.0 Module,"Infineon SLB9665 or equivalent | 14-pin TPM header | PCIe/LPC bus | e.g. ASUS TPM-L R2.0 / MSI TPM 2.0 Module",NEW_ONLY,1,20,Consumer,"Mandatory for Web3 Safe multi-sig key air-gapping. Iskander OS stores encrypted key shards in TPM secure enclave. TPM must match motherboard header pinout — verify with board manual before purchase. Buy new only."
T2-010,Cooling,CPU Air Cooler Low-Profile,"TDP: 95W+ rated | Height: <58mm for Mini-ITX chassis | e.g. Noctua NH-L9a-AM5 / be quiet! Shadow Rock LP",NEW_ONLY,1,45,Consumer,"58mm height limit is critical for Mini-ITX builds. Noctua NH-L9a-AM5 is the reference choice. Do not exceed chassis height clearance."
T2-011,Cooling,Case Fan 120mm,"120mm | PWM | e.g. Noctua NF-A12x25 / Arctic P12 PWM",NEW_ONLY,2,20,Consumer,"Two fans: one intake, one exhaust. PWM control via motherboard headers enables OS-level thermal management."
T2-012,Chassis,Mini-ITX Case,"Mini-ITX | Supports: ATX PSU or SFX PSU | Single PCIe x16 dual-slot GPU | 2x 2.5-inch bays | e.g. Fractal Design Node 304 / Silverstone SG13",MEDIUM,1,60,Consumer,"Phase 2 of this project defines a custom OpenSCAD chassis. Until then, use a commercial Mini-ITX case. Node 304 preferred for airflow and 3.5-inch bay repurposing. QR code repair surfaces can be 3D-printed and adhered internally."
T2-013,Networking,Cat6 Ethernet Cable,"Cat6 | 3m | Shielded",NEW_ONLY,1,5,Consumer,"Primary network connection. Wired always preferred over Wi-Fi for node stability."
T2-014,Power,UPS 850VA,"850VA / 510W | Pure sine wave | USB HID | e.g. CyberPower CP850PFCLCD / APC SMT850C",MEDIUM,1,130,Consumer,"Larger UPS than Tier 1 to cover GPU power spikes. Pure sine wave mandatory for SFX PSU protection. USB HID port required for NUT daemon integration."
T2-015,Sensors,I2C Power Sensor (UPS bypass monitor),"INA3221 triple-channel | I2C | Monitors: wall input / UPS output / system draw | e.g. Adafruit INA3221",NEW_ONLY,1,18,Consumer,"Three-channel monitoring enables OS to distinguish: mains power / UPS battery / load draw simultaneously. Wire between UPS output and PDU strip feeding the system. Critical for Graceful Degradation telemetry."
