id,equipment,description,spec,est_cost_usd_low,est_cost_usd_high,supplier_example,notes,required_for_tier
P8-001a,FDM 3D Printer (primary),Bambu Lab A1,256mm³ build volume; PETG/PLA/ASA-capable; 0.2mm resolution,300,400,Bambu Lab,Chassis panels and brackets. Auto-levelling required for reliable PETG. Alternative: Prusa MK4.,1+
P8-001b,FDM 3D Printer (alternative),Prusa MK4,250mm³; PETG-capable; Prusa-quality build surface,550,650,Prusa Research,Slower than Bambu but highly repairable and open-source hardware.,1+
P8-002a,Soldering Station (primary),Hakko FX-888D,Temperature-controlled; 70–480°C; 65W,95,110,Amazon/Hakko,For Solidarity HAT assembly and chassis wiring. Required.,1+
P8-002b,Soldering Station (budget),Pinecil V2 + stand,USB-C powered; 100W; GaN-compatible; open-source firmware,30,40,Pine64 / PINE Store,Pinecil is open hardware. Works for through-hole; slightly awkward for fine SMD.,1+
P8-002c,Hot Air Rework Station,Yihua 858D or KSGER T12 equivalent,Hot air + soldering iron combo; 700W; adjustable airflow,45,80,Various,Required for Solidarity HAT INA3221 (SOIC-14) and ATECC608B (SOIC-8) SMD placement.,2+
P8-002d,Solder Paste + Stencil,Sn63/Pb37 or SAC305 solder paste + stainless stencil for solidarity_hat_v1,N/A,15,30,Solder paste: Chipquik SMD291AX; Stencil: JLCPCB stencil order,Stencil ordered alongside PCB at JLCPCB. Required for reliable SMD reflow.,2+
P8-003,USB Flash Duplicator,LogicCell 1-to-7 standalone duplicator,1:7 duplication; standalone (no PC required); USB-A; 256GB+ support,75,95,Amazon / LogicCell,Bulk OS flashing. Standalone is critical — no PC bottleneck. Target: 4+ drives in 15 min.,2+
P8-004a,Digital Multimeter (recommended),Fluke 101 or UNI-T UT61E,3.5-digit; continuity beeper; voltage DC/AC; resistance; diode test,35,55,Amazon / Fluke,Kill switch continuity verification and voltage checks. Required.,1+
P8-004b,Digital Multimeter (budget),AstroAI DM6000AR,3.75-digit; auto-ranging; continuity; voltage,20,25,Amazon,Adequate for basic kill switch and voltage checks.,1+
P8-005a,Anti-static Mat + Wrist Strap,ESD Protection Kit,600×500mm ground mat; wrist strap; ground cord; dissipative surface resistance 10^6–10^9 Ω,20,30,Amazon / Desco,ESD protection during Solidarity HAT assembly. ATECC608B is ESD-sensitive. Required.,1+
P8-006,Label Printer,Brother QL-820NWB,62mm label roll; WiFi + USB; Mac/Linux compatible; DK-22205 continuous roll,90,110,Amazon / Brother,QR codes for node serial labels and repair surface stickers. Material Passport labels.,2+
P8-007,Oscilloscope (optional),Rigol DS1054Z or Saleae Logic 8,4-channel; 50MHz; or logic analyser 8-channel 100MHz,100,200,Amazon / Rigol,For I2C signal verification (SDA/SCL waveforms) and WS2812B data line validation. Optional but accelerates debugging.,2+
P8-008,Label Cutter (optional),Brother PT-D600,TZe tape; PC-connected; 36mm max width,60,80,Amazon / Brother,Alternative to QL-820NWB for smaller text labels on chassis interior.,1+
P8-009,Bench Power Supply (optional),Korad KA3005P,0–30V 0–5A; programmable; current limiting,55,75,Amazon / Korad,Useful for testing Solidarity HAT and kill switch circuits before connecting to live node.,2+
,,TOTAL (minimum viable — Tier 1 builds),,,705,955,,,
,,TOTAL (full Tier 2 SMD production capability),,,"~$1,050","~$1,400",,,
