component_id,category,component_name,specs,refurbished_priority,qty,estimated_cost_usd,source_class,notes
T1-001,Compute,Refurbished N100 Mini PC,"Intel N100 (4-core Alder Lake-N) | 12th Gen | TDP: 6W | 1L form factor | e.g. Beelink EQ12 / Minisforum UN100L / Lenovo ThinkCentre M75q Tiny",HIGH,1,120,ITAD,"Prefer units with original PSU brick. Verify BIOS update availability. N100 supports AES-NI for encryption. Alternative: Refurbished HP EliteDesk 800 G4 Mini."
T1-002,Memory,DDR5 SO-DIMM 16GB,"16GB DDR5-4800 SO-DIMM | Single stick | Upgradeable to 32GB",MEDIUM,1,35,Consumer,"Buy new if refurbished unavailable — SO-DIMM failure rates are higher. Samsung or Crucial preferred for longevity."
T1-003,Storage,NVMe SSD 512GB,"M.2 2280 NVMe PCIe 3.0 | 512GB | e.g. Crucial P3 / WD Blue SN570",MEDIUM,1,40,Consumer,"Refurbished enterprise NVMe (Samsung PM983 class) acceptable if S.M.A.R.T. verified clean. Run smartctl before deployment."
T1-004,Storage,USB 3.0 Boot Drive,"USB 3.0 Flash Drive | 32GB minimum | e.g. Samsung FIT Plus",NEW_ONLY,1,10,Consumer,"Used as Iskander OS installer/live boot medium. Must be USB 3.0+ for acceptable flash speed. Replace after 3 installs."
T1-005,Power,UPS (Uninterruptible Power Supply),"600VA / 360W | Pure sine wave preferred | USB HID monitoring port | e.g. CyberPower CP600LCD / APC BE600M1",MEDIUM,1,60,Consumer,"USB HID port mandatory — Iskander OS NUT daemon reads voltage/load/battery data for Graceful Degradation. Verify NUT compatibility at networkupstools.org/stable-hcl.html"
T1-006,Sensors,I2C Power Sensor Module,"INA219 or INA3221 breakout board | I2C interface | 0-26V / 3.2A per channel | e.g. Adafruit INA219",NEW_ONLY,1,10,Consumer,"Wired inline on DC barrel jack between PSU brick and Mini PC. Exposes real-time wattage to OS via I2C GPIO header or USB-I2C bridge (CP2112). Required for Permacomputing power telemetry."
T1-007,Sensors,USB-I2C Bridge (if no GPIO header),"CP2112 USB-to-I2C/SMBus HID bridge | e.g. Adafruit CP2112 breakout",NEW_ONLY,1,12,Consumer,"Required ONLY if Mini PC has no exposed GPIO/I2C header (most 1L PCs do not). Connects INA219 sensor to a USB port. Driver supported natively in Linux kernel 4.15+."
T1-008,Networking,Gigabit Ethernet Cable,"Cat6 | 3m | Shielded",NEW_ONLY,1,5,Consumer,"Wired Ethernet is mandatory for node stability. Wi-Fi optional at Tier 1."
T1-009,Networking,USB Wi-Fi Adapter (optional),"USB 3.0 | 802.11ac (Wi-Fi 5) or 802.11ax (Wi-Fi 6) | AP mode capable | e.g. Alfa AWUS036ACS",NEW_ONLY,1,25,Consumer,"Optional. Required ONLY if node will serve as a wireless access point or mesh node. Must support AP mode (hostapd). Verify chipset: Realtek RTL8812AU or MediaTek MT7612U recommended."
T1-010,Cooling,Thermal Paste (replacement),"Non-conductive | e.g. Noctua NT-H1 | 1.4g tube",NEW_ONLY,1,7,Consumer,"Refurbished Mini PCs often have degraded thermal paste. Replace on first disassembly. Reduces throttling and extends CPU lifespan."
T1-011,Chassis,Original Mini PC Chassis,"Included with T1-001 refurbished unit | 1L form factor",HIGH,1,0,ITAD,"Reuse original chassis. If damaged, PLA/PETG 3D-printed replacement panels are viable at this scale."
T1-012,Power,DC Power Brick (replacement),"19V or per-unit spec | 65W minimum | Universal tip set",MEDIUM,1,15,Consumer,"Request original adapter with ITAD purchase. Aftermarket universal adapters acceptable as backup. Verify polarity before use."
