id,component,manufacturer,manufacturer_pn,description,package,qty,unit_cost_usd,total_cost_usd,supplier,supplier_pn,datasheet_url,notes,cern_ohls_compliant
P5-001,DPST Toggle Switch,E-Switch,100SP1T1B4M2QEH,DPST 6A 250VAC panel-mount M12,Panel mount M12,3,3.00,9.00,DigiKey,EG5350-ND,https://www.e-switch.com/product-catalog/toggle/product/100SP1T1B4M2QEH,Mic/Wi-Fi/GPU kill. Pole 1 breaks signal; Pole 2 signals GPIO state. Rear I/O bracket mount.,YES
P5-002,I2C Power Monitor,Texas Instruments,INA3221AIDR,3-channel I2C voltage/current monitor,SOIC-14,1,4.00,4.00,DigiKey,296-43799-1-ND,https://www.ti.com/lit/ds/symlink/ina3221.pdf,I2C addr 0x40 (A0=A1=GND). Channels: 12V system / solar battery / 3.3V aux.,YES
P5-003,Secure Element,Microchip Technology,ATECC608B-MAHDA-S,ECC-P256 secure key storage 16-slot I2C,SOIC-8,1,1.50,1.50,DigiKey,ATECC608B-MAHDA-S-ND,https://ww1.microchip.com/downloads/aemDocuments/documents/SCBU/ProductDocuments/DataSheets/ATECC608B-CryptoAuthentication-Device-Summary-Data-Sheet-DS40002239B.pdf,I2C addr 0x60. Slot 0: Web3 multi-sig key. Slot 1: node TLS identity.,YES
P5-004,2x20 Pin Header,Amphenol,10129381-940002BLF,2.54mm pitch 40-pin male header vertical,Through-hole 2x20,1,0.50,0.50,DigiKey,609-5386-ND,https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_smt_100_amphe-grip.pdf,J1: main HAT connector to host motherboard or USB-I2C bridge.,YES
P5-005,PCB Fabrication,JLCPCB,—,2-layer 1.6mm FR4 HASL 65x56mm,—,5,3.00,15.00,JLCPCB,—,—,Minimum order 5. $15 total for 5-unit run. Target OSHWA certification.,YES
P5-006a,LED Green 0805,Wurth Elektronik,150080GS75000,Green LED 0805 2.0V 20mA,0805 SMD,1,0.10,0.10,DigiKey,732-4971-1-ND,—,LED1: HAT power indicator.,YES
P5-006b,LED Blue 0805,Wurth Elektronik,150080BS75000,Blue LED 0805 3.0V 20mA,0805 SMD,1,0.10,0.10,DigiKey,732-4984-1-ND,—,LED2: I2C activity.,YES
P5-006c,LED Amber 0805,Wurth Elektronik,150080AS75000,Amber LED 0805 2.0V 20mA,0805 SMD,1,0.10,0.10,DigiKey,732-4972-1-ND,—,LED3: any kill-switch active.,YES
P5-006d,LED Red 0805,Wurth Elektronik,150080RS75000,Red LED 0805 2.0V 20mA,0805 SMD,1,0.10,0.10,DigiKey,732-4975-1-ND,—,LED4: ATECC608B heartbeat.,YES
P5-007a,Capacitor 100nF 0805,Yageo,CC0805KRX7R9BB104,100nF 25V X7R ceramic,0805 SMD,6,0.05,0.30,DigiKey,311-1141-1-ND,—,Decoupling: U1 VS U2 VCC J1 pins. One per IC plus bus.,YES
P5-007b,Capacitor 10uF 0805,Murata,GRM21BR61A106KE18L,10µF 10V X5R ceramic,0805 SMD,2,0.15,0.30,DigiKey,490-6473-1-ND,—,Bulk decoupling on +3V3 rail.,YES
P5-007c,Resistor 4k7 0805,Yageo,RC0805FR-074K7L,4.7kΩ 1% 125mW,0805 SMD,2,0.02,0.04,DigiKey,311-4.7KCRCT-ND,—,I2C pull-ups: R_PULL_SDA R_PULL_SCL.,YES
P5-007d,Resistor 10k 0805,Yageo,RC0805FR-0710KL,10kΩ 1% 125mW,0805 SMD,3,0.02,0.06,DigiKey,311-10KCRCT-ND,—,GPIO kill-state pull-downs (x3).,YES
P5-007e,Resistor 100R 0805,Yageo,RC0805FR-07100RL,100Ω 1% 125mW,0805 SMD,4,0.02,0.08,DigiKey,311-100CRCT-ND,—,LED series resistors (x4).,YES
P5-007f,Shunt Resistor 0.1R 2512,Bourns,CSS2512FT0R100,0.1Ω 1% 1W current sense,2512 SMD,3,0.30,0.90,DigiKey,CSS2512FT0R100CT-ND,—,R_SHUNT1 R_SHUNT2 R_SHUNT3 for INA3221.,YES
P5-008,10-pin IDC Connector,Amphenol,71600-010LF,10-pin IDC 2.54mm right-angle,Through-hole,1,0.60,0.60,DigiKey,609-3297-ND,—,J5: TPM 2.0 passthrough to motherboard header (DNP if ATECC608B used).,YES
MISC-1,9-pin USB2 Header,Amphenol,10118192-0001LF,USB 2.0 internal 9-pin header 2.54mm,Through-hole 2x5-1,2,0.40,0.80,DigiKey,609-4613-ND,—,J2: one host-side one device-side (in-line switch implementation).,YES
MISC-2,4-pin Dupont Header,Sullins,PREC004SAAN-RC,4-pin 2.54mm straight male,Through-hole,2,0.15,0.30,DigiKey,S1011EC-04-ND,—,J3 J4: Wi-Fi and GPU enable headers.,YES
MISC-3,3-pin JST-XH Header,JST,B3B-XH-A,3-pin JST-XH 2.5mm right-angle,Through-hole,3,0.20,0.60,DigiKey,455-2247-ND,—,J6 J7 J8: INA3221 shunt terminals.,YES
MISC-4,Signal Diode 1N4148,ON Semiconductor,1N4148,Fast switching diode 100V 200mA,SOD-123,3,0.03,0.09,DigiKey,1N4148FSCT-ND,—,D1 D2 D3: diode-OR for LED3 kill-state aggregate.,YES
,,,,,,,,,,,,,,
,,TOTAL PER UNIT (excl. PCB fab per-unit ~$3),,,,,29.47,,,,,,
,,TOTAL PER UNIT (incl. PCB fab per-unit),,,,,31.47,,,,,,
